side,entry_ts,entry,stop,tp,exit_ts,exit,reason,r_mult
SHORT,1767587400000,92378.74,92526.23,92137.4,1767588600000,92581.74,STOP,-1.376
SHORT,1767592200000,92426.11,92546.3,92229.44,1767594300000,92284.78,TP,1.176
LONG,1767597300000,92639.75,92529.72,92819.8,1767597300000,92474.2,STOP,-1.505
LONG,1767601500000,92767.13,92685.41,92900.85,1767601500000,92629.8,STOP,-1.681
SHORT,1767602700000,92388.43,92475.13,92246.56,1767602700000,92530.62,STOP,-1.64
SHORT,1767603900000,92269.01,92368.35,92106.45,1767603900000,92423.77,STOP,-1.558
LONG,1767606600000,92801.55,92690.13,92983.86,1767606600000,92634.52,STOP,-1.499
LONG,1767608100000,92927.42,92814.72,93111.85,1767608400000,92759.03,STOP,-1.494
LONG,1767610500000,93156.36,93025.19,93371.01,1767610500000,92969.37,STOP,-1.426
SHORT,1767617100000,92717.64,92834.25,92526.81,1767617100000,92889.96,STOP,-1.478
SHORT,1767620700000,92505.46,92626.8,92306.91,1767620700000,92682.38,STOP,-1.458
LONG,1767624300000,93325.96,93129.61,93647.26,1767624300000,93073.73,STOP,-1.285
