side,entry_ts,entry,stop,tp,exit_ts,exit,reason,r_mult
SHORT,1767587400000,92378.74,92512.82,92137.4,1767588000000,92568.33,STOP,-1.414
SHORT,1767592200000,92426.11,92535.37,92229.44,1767594300000,92284.78,TP,1.294
LONG,1767597300000,92639.75,92539.72,92819.8,1767597300000,92484.2,STOP,-1.555
LONG,1767601500000,92767.13,92692.84,92900.85,1767601500000,92637.22,STOP,-1.749
SHORT,1767602700000,92388.43,92467.25,92246.56,1767602700000,92522.73,STOP,-1.704
SHORT,1767603900000,92269.01,92359.32,92106.45,1767603900000,92414.73,STOP,-1.614
LONG,1767606600000,92801.55,92700.26,92983.86,1767606600000,92644.64,STOP,-1.549
LONG,1767608100000,92927.42,92824.96,93111.85,1767608400000,92769.27,STOP,-1.544
LONG,1767610500000,93156.36,93037.11,93371.01,1767610500000,92981.29,STOP,-1.468
SHORT,1767617100000,92717.64,92823.65,92526.81,1767617100000,92879.35,STOP,-1.525
SHORT,1767620700000,92505.46,92615.77,92306.91,1767620700000,92671.34,STOP,-1.504
LONG,1767624300000,93325.96,93147.46,93647.26,1767624300000,93091.57,STOP,-1.313
